단축코드,표준코드,한글종목명,상장일자,현재가,상장주수,시장구분,상한가,상한가2,하한가,전일종가,시가,고가,저가,종가,누적거래량,기준가,52주최저가,52주최고가,52주최고가일,52주최고대비율,52주최저가일,52주최저대비율,w52저가
336040,KR7336040001,타스컴                                  S,0207NNN,23100000,26820241,0,0017-0000,00000017-,00000015-,00000065-,0 N 0,450012,000289496,900000000,9120200000000000578,000500201,070000000,000000000,0100N090,0NNN00000,0001NNN0,585000010,T000003
337840,KR7337840003,유엑스엔                                S,0284NNN,23100000,00020241,0,0003-3610,00000003-,00000058-,00000005-,0 N 0,800012,000237376,700000000,9112800000000000474,000500201,789000000,000000011,0100N090,0NNN00000,0001NNN0,000000010,T000006
341170,KR7341170009,퓨쳐메디신                              S,0096NNN,23100000,00020241,0,004000000,00000040-,00000041-,00000000-,0 N 0,250012,000526660,300000000,2072700000000001053,000500202,778000000,000000038,0100N090,0NNN00000,0001NNN0,918000010,T000000
346010,KR7346010002,타이드                                  S,0048NNN,23100000,00020241,0,0046-3610,00000039-,00000035-,00000061-,0 N 0,100012,000243003,000000000,2122800000000000486,000500202,000000000,000000000,0100N090,0NNN00000,0001YNN0,000000010,T000001
351020,KR7351020003,미쥬                                    S,0149NNN,23100000,00020241,0,001000000,000000100,000000150,000003080,0 N 0,000012,000025000,500000000,3102600000000000207,000100202,000000000,000000000,0100N090,0NNN00000,0001NNN0,190000010,T000007
354390,KR7354390007,바스칸바이오제약                        S,0301NNN,23100000,01020241,0,002800000,000000280,000000120,000002890,0 N 0,750012,001754561,800000000,2072000000000000701,002500202,430000000,000000000,0100N090,0NNN00000,0001NNN0,300000010,T000004
379390,KR7379390008,이성씨엔아이                            S,0142NNN,23100000,00020251,0,005700000,00000056-,00000046-,00000194-,0 N 0,000012,000142073,100000000,1060400000000000284,000500202,260000000,000000000,0100N090,0NNN00000,0001NNN0,030000010,T000005
390110,KR7390110005,애니메디솔루션                          S,0029NNN,23100000,15120241,0,0031-0000,00000031-,00000023-,00000014-,0 N 0,350012,000484852,700000000,2122100000000000969,000500202,009000000,000000000,0100N090,0NNN00000,0001NNN0,305000010,T000000
402420,KR7402420004,켈스                                    S,0030NNN,23100000,00020241,0,0016-3610,00000016-,00000048-,00000019-,0 N 0,150012,000117438,800000000,1113000000000000234,000500202,113000000,000000000,0100N090,0NNN00000,0001NNN0,299000010,T000001
403360,KR7403360001,라피치                                  S,0251NNN,23100000,02420241,0,0015-0000,00000014-,00000015-,00000158-,0 N 0,850012,000179290,500000000,1121400000000000358,000500202,016000000,000000000,0100N090,0NNN00000,0001NNN0,000000010,T000007
