단축코드,표준코드,한글명,그룹코드,시가총액규모,지수업종대분류,지수업종중분류,지수업종소분류,제조업,저유동성,지배구조지수종목,KOSDAQ섹터업종,KOSDAQ100,KOSDAQ150,KRX,ETP,ELW발행,KRX100,KRX자동차,KRX반도체,KRX바이오,KRX은행,SPAC,KRX에너지화학,KRX철강,단기과열,KRX미디어통신,KRX건설,Non1,KRX증권,KRX선박,KRX섹터보험,KRX섹터운송,SRI,기준가,매매수량단위,시간외수량단위,거래정지,정리매매,관리종목,시장경고,경고예고,불성실공시,우회상장,락구분,액면변경,증자구분,증거금비율,신용가능,신용기간,전일거래량,액면가,상장일자,상장주수,자본금,결산월,공모가,우선주,공매도과열,이상급등,KRX300,KOSDAQ,매출액,영업이익,경상이익,당기순이익,ROE,기준년월,시가총액,그룹사코드,회사신용한도초과,담보대출가능,대주가능
0037T0,KR70037T0008,KB제32호스팩,ST,3.0,1014,0,0,,N,N,,N,,,,,Y,,,0,,,N,,,,,N,0,0,0,0,0,200500001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,364400000,10020250,70400000,633000000,63300000012,,0 NN0,0,0,0,0,0,000000000,000000000,000000000,0,0,0,126   NNN,,,,
003800,KR7003800000,에이스침대,ST,2.0,1009,1031,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,0,0,0,0,3,195000001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,781200000,100019960,50300000,1109000000,1109000000012,,0 NN0,0,0,0,0,0,850000000,128000000,196001500,0,9202603,31000003,543   NNN,,,,
0041B0,KR70041B0002,교보18호스팩,ST,3.0,1014,0,0,,N,N,,N,,,,,Y,,,0,,,N,,,,,N,0,0,0,0,0,202500001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,233200000,10020250,81400000,504000000,50400000012,,0 NN0,0,0,0,0,0,000000000,000000000,000000000,0,0,0,102   NNN,,,,
0041J0,KR70041J0004,엘에스스팩1호,ST,3.0,1014,0,0,,N,N,,N,,,,,Y,,,0,,,N,,,,,N,0,0,0,0,0,199900001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,86400000,10020250,72200000,411000000,41100000012,,0 NN0,0,0,0,0,0,000000000,000000000,000000000,0,0,0,082   NNN,,,,
0041L0,KR70041L0000,하나35호스팩,ST,3.0,1014,0,0,,N,N,,N,,,,,Y,,,0,,,N,,,,,N,0,0,0,0,0,200500001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,55900000,10020250,80600000,603000000,60300000012,,0 NN0,0,0,0,0,0,000000000,000000000,000000000,0,0,0,120   NNN,,,,
0044K0,KR70044K0008,삼성스팩10호,ST,3.0,1014,0,0,,N,N,,N,,,,,Y,,,0,,,N,,,,,N,0,0,0,0,0,200000001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,8608500000,10020250,82100000,752000000,75200000012,,0 NN0,0,0,0,0,0,000000000,000000000,000000000,0,0,0,150   NNN,,,,
004590,KR7004590006,한국가구,ST,3.0,1011,0,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,0,0,0,0,0,651000001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,11848700000,10019930,60300000,1500000000,150000000012,,0 NN0,0,0,0,0,0,443000000,060000000,061000470,0,7202603,31000000,976   NNN,,,,
004650,KR7004650008,창해에탄올,ST,3.0,1009,1019,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,0,0,0,0,0,946000001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,3415900000,50020140,73000000,919000000,459544250012,,0 NN0,0,0,0,0,0,283000000,043000000,044000340,0,10202603,31000000,869   NNN,,,,
004780,KR7004780003,대륙제관,ST,3.0,1009,1026,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,0,0,0,0,0,407500001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,25870800000,50019941,22900000,1590300000,795159950012,,0 NN0,0,0,0,0,2,747000000,158000000,157001150,0,8202412,31000000,648   NNN,,,,
005160,KR7005160007,동국산업,ST,3.0,1009,1026,0,N,N,Y,,N,N,N,N,N,N,N,Y,0,N,N,N,N,N,N,N,N,0,0,0,0,0,267000001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,14665400000,100019990,62500000,5424400000,5424448200012,,0 NN0,0,0,0,0,7,278000000,070-00000,097-0111-,0,3202512,31000001,448   NNN,,,,
