구분코드,심볼,영문명,한글명,종목업종코드,다우30편입여부,나스닥100편입여부,SP500편입여부,거래소코드,국가구분코드
H,CH:518600 ,GF Shanghai Gold ETF,GF Shanghai Gold ETF,    , , , ,SHSE,CH 
H,CH:518660 ,ICBCCS Gold Exchange Traded Fund,ICBCCS Gold Exchange Trad,    , , , ,SHSE,CH 
H,CH:518680 ,FULLGOAL SHANGHAI GOLD ETF,FULLGOAL SHANGHAI GOLD ET,    , , , ,SHSE,CH 
H,CH:518800 ,Guotai Gold ETF,GUOTAI-GOLD ETF,    , , , ,SHSE,CH 
H,CH:518850 ,ChinaAMC Gold Exchange Traded Fund,ChinaAMC Gold Exchange Tr,    , , , ,SHSE,CH 
H,CH:518860 ,CCB Shanghai Gold ETF,CCB Shanghai Gold ETF,    , , , ,SHSE,CH 
H,CH:518880 ,Huaan Yifu Gold ETF,HUAAN-YIFU GOLD,    , , , ,SHSE,CH 
H,CH:518890 ,BOC Shanghai Gold ETF,BOC Shanghai Gold ETF,    , , , ,SHSE,CH 
H,CH:520500 ,Huatai-PB Hang Seng Innovative Medicine,Huatai-PB Hang Seng Innov,ETF ,(,Q,D,SHSE,CH 
H,CH:520510 ,520510,520510,    , , , ,SHSE,CH 
H,CH:520520 ,Huatai-PB Hang Seng Consumption ETF(QDI,Huatai-PB Hang Seng Consu,)   , , , ,SHSE,CH 
H,CH:520530 ,520530,520530,    , , , ,SHSE,CH 
H,CH:520550 ,CMF Hang Seng Hong Kong Stock Connect H,CMF Hang Seng Hong Kong S,gh D,i,v,i,SHSE,CH 
H,CH:520560 ,520560,520560,    , , , ,SHSE,CH 
H,CH:520570 ,520570,520570,    , , , ,SHSE,CH 
H,CH:520580 ,CMF Leon Emerging Asia Selections ETF (,CMF Leon Emerging Asia Se,DII), , , ,SHSE,CH 
H,CH:520590 ,Penghua Hang Seng TECH ETF QDII QDII,Penghua Hang Seng TECH ET,    , , , ,SHSE,CH 
H,CH:520600 ,GF CSI Hong Kong Connect Automobile Ind,GF CSI Hong Kong Connect,stry, ,T,h,SHSE,CH 
H,CH:520610 ,520610,520610,    , , , ,SHSE,CH 
H,CH:520620 ,520620,520620,    , , , ,SHSE,CH 
H,CH:520630 ,520630,520630,    , , , ,SHSE,CH 
H,CH:520650 ,520650,520650,    , , , ,SHSE,CH 
H,CH:520660 ,China Southern CSI China Reform H.K Con,China Southern CSI China,Cent,r,a,l,SHSE,CH 
H,CH:520670 ,520670,520670,    , , , ,SHSE,CH 
H,CH:520680 ,China Southern CSI Hong Kong Connect Au,China Southern CSI Hong K,omob,i,l,e,SHSE,CH 
H,CH:520690 ,520690,520690,    , , , ,SHSE,CH 
H,CH:520700 ,Wanjia CSI Hong Kong Connect Innovative,Wanjia CSI Hong Kong Conn,Drug, ,E,T,SHSE,CH 
H,CH:520720 ,520720,520720,    , , , ,SHSE,CH 
H,CH:520730 ,520730,520730,    , , , ,SHSE,CH 
H,CH:520760 ,520760,520760,    , , , ,SHSE,CH 
H,CH:520770 ,CCB Principal HSI SCHK ETF,CCB Principal HSI SCHK ET,    , , , ,SHSE,CH 
H,CH:520780 ,520780,520780,    , , , ,SHSE,CH 
H,CH:520790 ,520790,520790,    , , , ,SHSE,CH 
H,CH:520810 ,E Fund CSI Hong Kong Connect High Divid,E Fund CSI Hong Kong Conn,nd Y,i,e,l,SHSE,CH 
H,CH:520820 ,520820,520820,    , , , ,SHSE,CH 
H,CH:520830 ,Huatai-PB CSOP Saudi Arabia ETF(QDII),Huatai-PB CSOP Saudi Arab,    , , , ,SHSE,CH 
H,CH:520840 ,520840,520840,    , , , ,SHSE,CH 
H,CH:520850 ,520850,520850,    , , , ,SHSE,CH 
H,CH:520860 ,520860,520860,    , , , ,SHSE,CH 
H,CH:520870 ,520870,520870,    , , , ,SHSE,CH 
H,CH:520880 ,520880,520880,    , , , ,SHSE,CH 
H,CH:520890 ,Huatai-PB HS Hong Kong Connect High Div,Huatai-PB HS Hong Kong Co,dend, ,L,o,SHSE,CH 
H,CH:520900 ,GF CSI China Reform Hong Kong Con Centr,GF CSI China Reform Hong,l-SO,E,s, ,SHSE,CH 
H,CH:520910 ,520910,520910,    , , , ,SHSE,CH 
H,CH:520920 ,520920,520920,    , , , ,SHSE,CH 
H,CH:520930 ,520930,520930,    , , , ,SHSE,CH 
H,CH:520940 ,520940,520940,    , , , ,SHSE,CH 
H,CH:520950 ,520950,520950,    , , , ,SHSE,CH 
H,CH:520960 ,520960,520960,    , , , ,SHSE,CH 
H,CH:520970 ,520970,520970,    , , , ,SHSE,CH 
H,CH:520980 ,520980,520980,    , , , ,SHSE,CH 
