유형,채권분류코드,표준코드,종목명,채권이자분류코드,상장일,발행일,상환일
F9,02,KR2001021EC2,서울특별시채권2024-3                    1320241216202412132029121,3,,,N
F9,02,KR2001021FC9,서울특별시채권2025-7                    1320251215202512122027121,2,,,N
F9,02,KR2001021G38,서울특별시채권2026-2                    1320260324202603232033032,3,,,N
F9,02,KR20010319B8,서울특별시채권2019-04                   1320191125201911222029112,2,,,N
F9,02,KR2001031BC7,서울특별시채권2021-07                   1320211202202112012026120,1,,,N
F9,02,KR2001031FC8,서울특별시채권2025-8                    1320251215202512122028121,2,,,N
F9,02,KR20010419B6,서울특별시채권2019-05                   1320191125201911222049112,2,,,N
F9,02,KR2001041BC6,서울특별시채권2021-10                   1320211208202112072026120,7,,,N
F9,02,KR2001041FC7,서울특별시채권2025-9                    1320251223202512192031061,9,,,N
F9,02,KR2001051AB9,서울특별시채권2020-11                   1320201123202011202030112,0,,,N
F9,02,KR2001051BC5,서울특별시채권2021-11                   1320211208202112072028120,7,,,N
F9,02,KR2001051FC6,서울특별시채권2025-10                   1320251224202512232031062,3,,,N
F9,02,KR2003011EC1,대전광역시채권2024-1                    1320241216202412132026121,4,,,N
F9,02,KR2003011F86,대전광역시채권2025-1                    1320250828202508272027082,7,,,N
F9,02,KR2003011F94,대전광역시채권2025-2                    1320250925202509242028092,2,,,N
F9,02,KR2003011FB0,대전광역시채권2025-3                    1320251127202511262029112,6,,,N
F9,02,KR20040111C1,인천지방채2011-1                        1320111221201112202026122,0,,,N
F9,02,KR20040112C9,인천지방채18                            1320121218201212172027121,7,,,N
F9,02,KR20040113A1,인천지방채27                            1320131018201310172028101,7,,,N
F9,02,KR20040114B7,인천지방채34                            1320141111201411102029111,0,,,N
F9,02,KR2004011574,인천지방채38                            1320150727201507242029072,4,,,N
F9,02,KR2004011947,인천지방채41                            1320190430201904262027042,6,,,N
F9,02,KR2004011B88,인천지방채42                            1320210809202108062029080,6,,,N
F9,02,KR2004011F19,인천지방채2025-1                        1320250122202501212030012,1,,,N
F9,02,KR2004011G59,인천지방채2026-1                        1320260601202605292028052,9,,,N
F9,02,KR20040214B5,인천지방채35                            1320141126201411252029112,5,,,N
